,Unnamed: 0.1,Unnamed: 0,filepaths,pipelines,groups,contrast
0,0,0,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,1000,right-hand
1,1,1,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,1000,right-hand
2,12,12,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-0_con.nii,spm-5-0-0,1000,right-hand
3,13,13,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-1_con.nii,spm-5-0-1,1000,right-hand
4,24,24,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,100,right-hand
5,25,25,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,100,right-hand
6,36,36,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-0-0_con.nii,spm-5-0-0,100,right-hand
7,37,37,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-0-1_con.nii,spm-5-0-1,100,right-hand
8,48,48,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,101,right-hand
9,49,49,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,101,right-hand
10,60,60,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_spm-5-0-0_con.nii,spm-5-0-0,101,right-hand
11,61,61,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_spm-5-0-1_con.nii,spm-5-0-1,101,right-hand
12,72,72,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,102,right-hand
13,73,73,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,102,right-hand
14,84,84,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-hand_spm-5-0-0_con.nii,spm-5-0-0,102,right-hand
15,85,85,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-hand_spm-5-0-1_con.nii,spm-5-0-1,102,right-hand
16,96,96,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,103,right-hand
17,97,97,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,103,right-hand
18,108,108,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-hand_spm-5-0-0_con.nii,spm-5-0-0,103,right-hand
19,109,109,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-hand_spm-5-0-1_con.nii,spm-5-0-1,103,right-hand
20,120,120,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,104,right-hand
21,121,121,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,104,right-hand
22,132,132,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-hand_spm-5-0-0_con.nii,spm-5-0-0,104,right-hand
23,133,133,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-hand_spm-5-0-1_con.nii,spm-5-0-1,104,right-hand
24,144,144,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-hand_fsl-5-0-0_con.nii,fsl-5-0-0,105,right-hand
